lon,lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,wind/gust,main/sea_level,main/grnd_level,weather/1/id,weather/1/main,weather/1/description,weather/1/icon,snow/1h
-73.5878,45.5088,804,Clouds,overcast clouds,04d,stations,279.21,277.69,272.46,282.17,1009,93,10000,2.06,180,90,1639669988,1,498,CA,1639657718,1639689102,-18000,6077243,Montreal,200,,,,,,,,
-123.1193,49.2497,804,Clouds,overcast clouds,04n,stations,276.08,276.08,273.86,276.77,1011,93,10000,0.45,42,90,1639670050,2,2011597,CA,1639670532,1639700071,-28800,6173331,Vancouver,200,1.79,,,,,,,
-114.0853,51.0501,803,Clouds,broken clouds,04d,stations,256.48,249.48,250.24,261.11,1008,81,10000,3.6,170,75,1639670114,2,2003474,CA,1639668870,1639697396,-25200,5913490,Calgary,200,,,,,,,,
-79.4163,43.7001,803,Clouds,broken clouds,04d,stations,287.19,286.45,284.53,290.02,1004,69,10000,2.68,203,75,1639670379,2,2043365,CA,1639658724,1639690895,-18000,6167865,Toronto,200,5.81,,,,,,,
-75.6981,45.4112,804,Clouds,overcast clouds,04d,stations,282.12,279.44,276.34,288.87,1006,98,10000,5.02,202,100,1639670500,2,2018866,CA,1639658203,1639689631,-18000,6094817,Ottawa,200,13.31,1006,997,,,,,
-97.147,49.8844,804,Clouds,overcast clouds,04d,stations,258.7,251.7,257.73,259.31,1004,76,4815,11.18,320,100,1639670683,2,47666,CA,1639664469,1639693664,-21600,6183235,Winnipeg,200,14.31,,,,,,,
-71.2145,46.8123,701,Mist,mist,50d,stations,272.49,270.91,272.14,274.61,1011,93,8047,1.34,45,90,1639670801,2,2041383,CA,1639657451,1639688230,-18000,6325494,Québec,200,3.58,,,600,Snow,light snow,13d,0.25
-84.5333,39.1834,804,Clouds,overcast clouds,04d,stations,289.14,288.86,288.06,289.85,1014,79,10000,3.13,37,90,1639670946,2,2005257,US,1639659081,1639692995,-18000,4513583,Hamilton,200,7.15,,,,,,,
-80.5112,43.4254,803,Clouds,broken clouds,04d,stations,286.95,286.66,284.86,287.83,1006,87,10000,8.94,270,58,1639670948,2,60894,CA,1639658930,1639691215,-18000,5992996,Kitchener,200,17.43,1006,967,,,,,
-0.1257,51.5085,804,Clouds,overcast clouds,04n,stations,283.99,283.11,282.98,284.84,1039,76,10000,2.06,300,90,1639670879,2,2019646,GB,1639641643,1639669905,0,2643743,London,200,,,,,,,,
114.1577,22.2855,804,Clouds,overcast clouds,04n,stations,296.13,296.78,295.14,297.14,1017,88,10000,0.45,0,96,1639670880,2,2035800,HK,1639695373,1639734157,28800,1819729,Hong Kong,200,0.89,,,,,,,
-83.0165,42.3001,804,Clouds,overcast clouds,04d,stations,288.41,288.34,285.92,290.34,1006,90,10000,4.02,185,90,1639671384,2,2000979,CA,1639659303,1639692045,-18000,6182962,Windsor,200,7.15,,,,,,,
-63.5724,44.6453,701,Mist,mist,50d,stations,275.16,271.96,274.09,277.18,1022,95,4828,3.13,123,90,1639671374,2,2019613,CA,1639655122,1639686890,-14400,6324729,Halifax,200,5.81,,,,,,,
-78.8496,43.9001,802,Clouds,scattered clouds,03d,stations,286.15,285.31,283.97,290.61,1005,69,10000,7.72,210,40,1639671345,1,871,CA,1639658630,1639690717,-18000,6094578,Oshawa,200,12.86,,,,,,,
-119.4857,49.8831,601,Snow,snow,13d,stations,272.57,270.67,270.73,273.22,1006,88,2414,1.54,230,90,1639671389,2,2004878,CA,1639669832,1639699026,-28800,5990579,Kelowna,200,,,,,,,,0.76
-104.6178,50.4501,803,Clouds,broken clouds,04d,stations,250.48,243.48,250.14,250.95,1017,76,10000,3.6,300,59,1639671388,1,209,CA,1639666422,1639695298,-21600,6119109,Regina,200,,,,,,,,
-106.6345,52.1168,803,Clouds,broken clouds,04d,stations,249.91,245.37,246.14,249.91,1011,82,10000,1.34,348,75,1639671385,2,2012012,CA,1639667406,1639695282,-21600,6141256,Saskatoon,200,3.13,,,,,,,
-79.2496,43.1668,803,Clouds,broken clouds,04d,stations,289.1,288.47,286.18,291.62,1006,66,10000,13.38,210,75,1639671557,1,917,CA,1639658573,1639690966,-18000,6155721,St. Catharines,200,18.01,,,,,,,
-52.7093,47.5649,803,Clouds,broken clouds,04d,stations,267.02,264.73,266.42,268.13,1023,71,10000,1.34,314,75,1639671621,2,2006913,CA,1639653191,1639683605,-12600,6324733,St. John's,200,5.81,,,,,,,
